Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Ссылки на фото,,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
№3-24-250/77-18,21.12.2018,,фармацевтика,Москва,"""Использование формулировок, которые утверждали полную гарантию эффективности препарата, что недопустимо в рекламе лекарственных средств.""","""Согласно п. 8 ч.  1 ст. 24 Закона о рекламе Реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.""",Возбуждено дело.,http://img.advertology.ru/aimages/2017/10/10/poliginax1.jpg,,"Верное: Согласно п. 8 ч. 1 ст. 24 ФЗ ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.","Неверное: Реклама не может создавать представление о преимуществах объекта рекламирования путем ссылки на факт проведения исследований (п. 4 ч. 1 ст. 24 ФЗ ""О рекламе"").","""Три компонента Полижинакс всегда добиваются результата"" - слоган указывает на эффективность и гарантию положительного действия препарата. Согласно п. 8 ч. 1 ст. 24 Закона ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
Делопроизводство было начато 21.12.2018 г.
Подробнее о деле: https://goo.su/qXqrch
"
№ 06-06/31-2018,21.06.2018,"Реклама в журнале ""Антенна-Телесемь"": ""...Аппарат, который дарит надежду на безболезненное будущее человека, - это ""НА"", который умеет устранять болевые симптомы наравне с известными, хотя и достаточно токсичными болеутоляющими препаратами...""НА"" не оставит после себя токсичных веществ, которые разрушительно действуют на Ваш организм, а бережно и быстро избавит Вас от боли..."".",фармацевтика заблуждение,Омск,"Создание
ложного
впечатления о
лекарственных
свойствах","В соотвествии с п.ми 2, 7 и 8 ч.  1 ст. 24 ФЗ ""О рекламе"": реклама лекарственных средств не должна: содержать ссылки на конкретные случаи излечения от заболеваний, улучшения состояния здоровья человека в результате применения объекта рекламирования; создавать впечатление ненужности обращения к врачу; гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.","Данное рекламное объявление нарушало сразу несколько пунктов законодательства. По пп. 2, 7 и 8 ч. 1 ст. 24 ФЗ ""О рекламе"":
реклама лекарственных средств не должна: - содержать ссылки на конкретные случаи излечения от заболеваний, улучшения состояния здоровья человека в результате применения объекта рекламирования;
- создавать впечатление ненужности обращения к врачу; гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
В ходе судебного разбирательства реклама была признана ненадлежащей, но предписание о прекращении нарушения не было выдано, так как размещение объявления в журнале ""Антенна-Телесемь"" носило разовый характер.
Подробнее о деле: https://goo.su/xKetQPg
",,,"Верное: В соответсвии с пп. 7, 8 ч. 1 ст. 24 ФЗ ""О рекламе"": рекламное объявление лекарственных средств не может создавать впечатление ненужности обращения к врачу; гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.","Неверное: П. 1 ч. 1 ст. 25 ФЗ ""О рекламе"": реклама биологически активных и пищевых добавок не должна создавать впечатление о том, что они являются лекарственными средствами и (или) обладают лечебными свойствами.","Данное рекламное объявление нарушало сразу несколько пунктов законодательства. По пп. 2, 7 и 8 ч. 1 ст. 24 ФЗ ""О рекламе"":
реклама лекарственных средств не должна:
- содержать ссылки на конкретные случаи излечения от заболеваний, улучшения состояния здоровья человека в результате применения объекта рекламирования;
- создавать впечатление ненужности обращения к врачу; гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
В ходе судебного разбирательства реклама была признана ненадлежащей, но предписание о прекращении нарушения не было выдано, так как размещение объявления в журнале ""Антенна-Телесемь"" носило разовый характер.
Подробнее о деле: https://goo.su/xKetQPg
"
"№ ВЧ-08/624
",26.01.2023,"При прослушивании музыки с помощью сервиса ""Яндекс Музыка"" транслируется аудиореклама с текстом: ""15 минут, и Вы увидите мир четким без очков и линз. Готовы?! Тогда запишитесь в клинику ""О"" на лазерную коррекцию. Зрение нормализуется уже в операционной, а результат останется с Вами на всю жизнь"".",фармацевтика,Татарстан,"Аудио реклама не сопровождается текстом: ""имеются противопоказания, требуется консультация специалиста"". Создает впечателение ненужности обращения к врачу (п. 7 ст. 24 ФЗ ""О рекламе"").","Согласно ч.  7 ст. 24 Закона ""О рекламе"", реклама лекарственных препаратов, медицинских услуг, в том числе методов профилактики, диагностики, лечения и медицинской реабилитации, медицинских изделий должна сопровождаться предупреждением о наличии противопоказаний к их применению и использованию, необходимости ознакомления с инструкцией по применению или получения консультации специалистов. В рекламе, распространяемой в радиопрограммах, продолжительность такого предупреждения должна составлять не менее чем три секунды.",Начато производство,-,,"Верное: Аудиореклама не сопровождается текстом: ""Имеются противопоказания, требуется консультация специалиста"". Создает впечателение ненужности обращения к врачу (п. 7 ч. 1 ст. 24 ФЗ ""О рекламе"").","Неверное: В соответствии с ч. 7 ст. 5 ФЗ ""О рекламе"": не допускается реклама, в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается смысл информации и вводятся в заблуждение потребители рекламы.
","Согласно ч. 7 ст. 24 Закона ""О рекламе"": реклама лекарственных препаратов, медицинских услуг, в том числе методов профилактики, диагностики, лечения и медицинской реабилитации должна сопровождаться предупреждением о наличии противопоказаний к их применению и использованию, необходимости ознакомления с инструкцией по применению или получения консультации специалистов. В рекламе, распространяемой в радиопрограммах, продолжительность такого предупреждения должна составлять не менее чем три секунды. В данном аудиоряде такое предупреждение отсутствует, нарушая рекламное законодательство.
Делопроизводство было начато 26.01.2023 г.
Подробнее о деле: https://goo.su/DVKEX
"
№ 3-18-233/77-17,23.01.2018,"Реклама на электронную почту: ""Уважаемый пациент INVITRO! Праздники закончились, и самое время подумать о здоровье. Проверьте себя на отсутствие инфекций, передаваемых половым путем. Почти половина мужчин и треть женщин в возрасте от 16 до 40 лет инфицированы хламидиозом. Многие их них не знают об этом - заболевание может долгое время протекать бессимптомно. Последствия запущенной инфекции: бесплодие, цистит и пиелонефрит, простатит и заболевание матки. Всего за 1 рубль пройдите исследование N 301УРО и убедитесь в том, что вашему здоровью не угрожает одна из самых распространенных инфекций - хламидиоз!""",фармацевтика заблуждение,Москва,"Массовая рассылка не согласованных предварительно с получателем сообщений;
создание ложного впечатления о необходимости применения объекта рекламирования.","В соответсвии с п.ми 5, 6 ч.  1 ст. 24 ФЗ ""О рекламе"": реклама лекарственых средств не должна: содержать утверждения или предположения о наличии у потребителей рекламы тех или иных заболеваний либо расстройств здоровья; способствовать созданию у здорового человека впечатления о необходимости применения объекта рекламирования. В соответствии с частью 1 ст. 18 реклама не может распространяться посредством использования телефонной связи без предварительного согласия абонента на ее получение.
",Предписание на устранение рекламы и предупреждение,-,,"Верное: В соответствии с п. 5 ч. 1 ст. 24 ФЗ ""О рекламе"": реклама лекарственных средств не должна: содержать утверждения или предположения о наличии у потребителей рекламы заболеваний либо расстройств здоровья.","Реклама содержит не подтвержденные статистические данные о динамике заболевания и о количестве зараженных людей. Нарушает п. 11 ч. 3 ст. 5 ФЗ ""О рекламе"".","Реклама содержит сразу несколько нарушений. В соответствии с пп. 5, 6 ч. 1 ст. 24 ФЗ ""О рекламе"":
реклама лекарственных средств не должна:
- содержать утверждения или предположения о наличии у потребителей рекламы тех или иных заболеваний либо расстройств здоровья;
- способствовать созданию у здорового человека впечатления о необходимости применения объекта рекламирования.
Разбирательство было начато 23.01.2018 г. По его итогам INVITRO получило предписание на устранение рекламы и предупреждение.
Подробнее о деле: https://goo.su/ozRf
"
№72-ФАС22-Р/06-16,02.08.2016,"В журнале «Телепарк» размещалась реклама следующего содержания: «Нанотехнологии и здоровое зрение! «ОФТАЛЬМИН» - СОХРАНИТЬ ЗРЕНИЕ ВОЗМОЖНО! «ОФТАЛЬМИН» используется:
- при комплексном лечении катаракты, глаукомы, макулодистрофии, отслоении сетчатки и других заболеваниях глаз;
- способствуют укреплению глазных сосудов и капилляров;
- помогает стабилизировать внутриглазное давление…
Не является лекарственным средством. Проконсультируйтесь со специалистом».",фармацевтика заблуждение,Барнаул,Создание ложного впечатления о лекарственных свойствах БАД.,"п.6 ч.5 ст.5 ФЗ «О рекламе»: в
рекламе не допускается указание на
лечебные свойства, то есть
положительное влияние на течение
болезни, объекта рекламирования, за
исключением такого указания в
рекламе лекарственных средств,
медицинских услуг, в том числе
методов профилактики, диагностики,
лечения и медицинской
реабилитации, медицинских изделий.
П. 1 ч. 1 ст. 25 ФЗ «О рекламе»:
Реклама биологически активных
добавок и пищевых добавок не
должна создавать впечатление о том,
что они являются лекарственными
средствами и (или) обладают
лечебными свойствами.",Предписание на устранение рекламы,-,,"Верное: П. 6 ч. 5 ст. 5 ФЗ «О рекламе»: не допускает указания на лечебные свойства, то есть положительное влияние объекта рекламирования на течение болезни, за исключением такого указания в рекламе лекарственных средств, медицинских услуг, в том числе методов профилактики, диагностики, лечения и медицинской реабилитации, медицинских изделий.","Неверное: ФЗ ""О рекламе"" запрещает рекламировать биологически активные добавки, так как они не оказывают лекарственного воздействия на организм человека и не являются методом профилактики, диагностики, лечения и медицинской реабилитации.","В рекламе не допускается указание на лечебные свойства, то есть положительное влияние объекта рекламирования на течение болезни, за исключением такого указания в рекламе лекарственных средств, медицинских услуг, в том числе методов профилактики, диагностики, лечения и медицинской реабилитации, медицинских изделий (п. 6 ч. 5 ст. 5 ФЗ «О рекламе»).
Делопроизводство было начато 02.08.2016 г. По итогам выдано предписание на устранение рекламы.
Подробнее о деле:
https://goo.su/V2Nyf
"
"№ 4-14.3-165/00-08-15
",06.04.2015,,фармацевтика заблуждение,Россия,"Приведенные в рекламных видеороликах утверждения указывают на превосходство лекарственного препарата ""Бронхикум"" в сравнении с другими препаратами от кашля по показателям эффективности и скорости действия, и дают основания потребителям полагать, что такое преимущество подтверждено клиническими исследованиями.
(https://www.youtube.com/watch?v=g1hQoLfhifw)","В соответствии с п.ом 1 ч.  3 ст. 5 Федерального закона ""О рекламе"" недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуется другими продавцами.
Согласно п.у 8 ч.  1 ст. 24 Федерального закона ""О рекламе"" реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.",Назначен штраф в размере 100 тыс. руб.,,,"Верное: Реклама Бронхикум гарантирует положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий. Это является нарушением п. 8 ч. 1 ст. 24 ФЗ ""О рекламе"".","Неверное: ФЗ ""О рекламе"" запрещает рекламировать лекарственные средства с помощью примеров конкретных случаев излечения от заболеваний, улучшения состояния здоровья человека в результате применения объекта рекламирования (п. 2 ч. 1 ст. 24 ФЗ ""О рекламе"").","Приведенные в рекламе утверждения указывают на превосходство лекарственного препарата ""Бронхикум"" по показателям эффективности и скорости действия, и дают потребителям основания полагать, что такое преимущество подтверждено клиническими исследованиями. При этом согласно п. 8 ч. 1 ст. 24 Федерального закона ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
В ходе разбирательства рекламу признали ненадлежащей и оштрафовали на 100 тыс. руб.
Подробнее о деле: https://goo.su/EzIaAv
"
"№ 04-01/13-16
",20.01.2016,,фармацевтика заблуждение,Ярославль,"Создание
ложного
впечатления о
лекарственных
свойствах ""Тяньши от всех болезней. Опыт лечения..."" Также гарантия выздоровления.","п.6 ч.5 ст.5 ФЗ «О рекламе»: в
рекламе не допускается указание на
лечебные свойства, то есть
положительное влияние на течение
болезни, объекта рекламирования, за
исключением такого указания в
рекламе лекарственных средств,
медицинских услуг, в том числе
методов профилактики, диагностики,
лечения и медицинской
реабилитации, медицинских изделий.
",Предписание на устранение рекламы.,,,"Верное: Создание ложного впечатления о лекарственных свойствах ""Тяньши от всех болезней...."" (п. 6 ч. 5 ст. 5 ФЗ ""О рекламе"").","Неверное: Реклама содержит утверждения о том, что безопасность и эффективность объекта рекламирования гарантированы его естественным происхождением, что нарушает законодательство о рекламе (п. 10 ч. 1 ст. 24 ФЗ ""О рекламе"").","В соответствии с п. 6 ч. 5 ст. 5 ФЗ ""О рекламе"": в рекламе не допускается указание на лечебные свойства, то есть положительное влияние объекта рекламирования на течение болезни, за исключением такого указания в рекламе лекарственных средств, медицинских услуг, в том числе методов профилактики, диагностики, лечения и медицинской реабилитации, медицинских изделий.
Реклама была признана ненадлежащей, компании было выдано предписание на ее устранение.
Подробнее о деле: https://goo.su/lBcAxL
"
№ РЦ.08.10.19,21.07.2010,,фармацевтика заблуждение,Москва,"Реклама вводит в
заблуждение.
В рекламе
БАДа есть указание на
излечение
конкретных
заболеваний.","""В соответствии с п. 2 ч. 1 ст. 25 ФЗ «О рекламе» реклама биологически активных добавок и пищевых добавок не должна содержать ссылки на конкретные случаи излечения людей, улучшения их состояния в результате применения таких добавок.""",Предписание на устранение рекламы,https://disk.yandex.ru/d/Xnwk6MwlbmUtzg/Запрещенная%20реклама/До%202016%20включительно/biobalans.jpg,,"Верное: В соответствии с п. 2 ч. 1 ст. 25 ФЗ ""О рекламе"": реклама биологически активных и пищевых добавок не должна содержать ссылки на конкретные случаи излечения людей, улучшения их состояния в результате применения таких добавок.","Неверное: Реклама препарата создает впечатление ненужности обращения к врачу, что нарушает рекламное законодательство  (п. 7 ч. 1 ст. 24 ФЗ ""О рекламе"").","Из рекламы следует, что БАД ""Биобаланс-К"" оказывает положительное воздействие на организм, обладает лечебными свойствами. В соответствии с п. 2 ч. 1 ст. 25 ФЗ «О рекламе»: реклама биологически активных добавок и пищевых добавок не должна содержать ссылки на конкретные случаи излечения людей, улучшения их состояния в результате применения таких добавок.
По решению ФАС реклама была признана ненадлежащей и устранена.
Подробнее о деле: https://goo.su/AZENKu5"
"№ 3-24-5/00-08-19
",30.01.2019,,фармацевтика,Москва,"Реклама гарантирует быстрое положительное действие лекарственного препарата. ""Я хотел, чтобы все болели, но оказался Гексорал сильнее"", - по рекламному ролику можно сказать, что в семье не заразились благодаря Гексоралу. Соответственно реклама лекарственного препарата заверяет потребителей в том, что действие лекарственного препарата ""Гексорал"" позволяет лицам, испытывающим симптомы болезни, не заразить других, тем самым гарантируя положительное действие препарата и его эффективность в устранении болезни.
","П. 8 ч. 1 ст. 24 ФЗ «О рекламе»: реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.",Штраф 50 тыс. рублей.,,,"Верное: Реклама гарантирует быстрое положительное действие лекарственного препарата, а препарат ""Гексорал"" позволяет лицам, испытывающим симптомы болезни, не заразить других.","Неверное: В рекламе не может отсутствовать часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования (ч. 7 ст. 5 ФЗ ""О рекламе"") ","Реклама гарантирует незамедлительное действие лекарственного препарата. По п. 8 ч. 1 ст. 24 ФЗ ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
По решению ФАС, реклама была признана ненадлежащей, и выписан штраф в размере 50 тыс. руб.
Подробнее о деле: https://goo.su/jJwk
"
"№ 08/05/24-38/2021
",27.05.2021,,фармацевтика заблуждение,Россия,"Визуальный ряд рекламы демонстрирует гарантированное наступление конечного результата от применения лекарственного препарата ""Терафлекс Хондрокрем Форте"", а именно, полное исчезновение воспаления коленного сустава и восстановление поврежденной хрящевой ткани, тем самым в рекламе присутствует гарантия положительного действия лекарственного препарата и его эффективности в устранении боли в суставах и восстановлении хрящевых тканей.
(https://www.youtube.com/watch?v=IB8bwagXUnw)","Согласно п.у 8 ч.  1 ст. 24 федерального закона ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.",Назначен штраф в размере 200 тыс. руб.,,,"Верное: Визуальный ряд демонстрирует гарантированное наступление конечного результата от применения лекарственного препарата ""Терафлекс Хондрокрем Форте"", обещает положительное действие и эффективность лекарственного препарата.","Неверное: В соответствии с ч. 7 ст. 5 ФЗ ""О рекламе"": не допускается реклама, в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования.","Реклама демонстрирует гарантированное наступление конечного результата от применения лекарственного препарата ""Терафлекс Хондрокрем Форте"". Это нарушает п. 8 ч. 1 ст. 24 ФЗ ""О рекламе"": реклама лекарственных средств не должна гарантировать положительное действие объекта рекламирования, его безопасность, эффективность и отсутствие побочных действий.
Делопроизводство было начато 27.05.2021 г. Рекламу признали ненадлежащей и выписали штраф в размере 200 тыс. руб.
Подробнее о деле: https://goo.su/6HoPl
"
