Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
https://www.gazeta.ru/business/2007/09/28/2199935.shtml,2007,,несовершеннолетние,Москва,"П. 2 ст. 6 ФЗ «О рекламе»: побуждение несовершеннолетних к
тому, чтобы они убедили родителей или других лиц приобрести
рекламируемый товар П.4 ст. 6 ФЗ «О рекламе»: создание у
несовершеннолетних впечатления о том, что обладание рекламируемым товаром ставит их в предпочтительное положение перед
их сверстниками П. 5 ст. 6 ФЗ «О рекламе»: формирование комплекса
неполноценности у несовершеннолетних, не обладающих рекламируемым товаром П. 8 ст. 6 ФЗ «О рекламе»: формирование у несовершеннолетних
комплекса неполноценности, связанного с их внешней
непривлекательностью П. 4 ст. 5 ФЗ «О рекламе»: реклама не
должна формировать негативное отношение к лицам, не
пользующимся рекламируемыми товарами, или осуждать таких лиц","ст.6 ФЗ ""о рекламе""",Оштрафованы на 400тр,"Верное.  Реклама побуждает несовершеннолетних обратиться к родителям с просьбой приобрести брендовые товары, а также создает у них впечатление, что обладание такими вещами дает преимущество перед сверстниками (п. 2, 4 ст. 6 ФЗ ""О рекламе"").","Неверное. На изображении используются товарные знаки иностранных компаний, ушедших из России. Это дискредитирует Российскую Федерацию и нарушает п. 10 ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама нарушает следующие нормы рекламного законодательства:
- п. 2 ст. 6 ФЗ «О рекламе»: побуждение несовершеннолетних к тому, чтобы они убедили родителей или других лиц приобрести рекламируемый товар;
- п. 4 ст. 6 ФЗ «О рекламе»: создание у несовершеннолетних впечатления о том, что обладание рекламируемым товаром ставит их в предпочтительное положение перед
их сверстниками;
- п. 5 ст. 6 ФЗ «О рекламе»: формирование комплекса неполноценности у несовершеннолетних, не обладающих рекламируемым товаром;
- п. 8 ст. 6 ФЗ «О рекламе»: формирование у несовершеннолетних комплекса неполноценности, связанного с их внешней непривлекательностью;
- п. 4 ст. 5 ФЗ «О рекламе»: реклама не должна формировать негативное отношение к лицам, не пользующимся рекламируемыми товарами, или осуждать таких лиц.
Рекламодателю был выписан штраф 400 тыс. рублей.
Подробнее о деле: https://goo.su/Csse"
№ 3-6-127/77-15,21.08.2015,,несовершеннолетние,Москва,"Используемые в рекламе высказывания «Ты хороший родитель?; Любишь ребенка - отведи в центральный детский магазин на Лубянке!» создают у ребенка впечатление о том, что «хороший», «любящий» родитель должен отвести его в названный магазин.","Согласно п.у 1 ст. 6 Закона о рекламе, в целях защиты несовершеннолетних от злоупотреблений их доверием и недостатком опыта в рекламе не допускается дискредитация родителей и воспитателей, подрыв доверия к ним у несовершеннолетних.","Выдать ОАО «ЛУБЯНКА-ДЕВЕЛОПМЕНТ», ООО «РАСВЭРО» предписания о прекращении нарушения законодательства Российской Федерации о рекламе","Верное. Высказывания ""Ты хороший родитель?"" и ""Любишь ребенка - отведи в центральный детский магазин на Лубянке!» дискредитируют родителя в глазах ребенка (п. 1 ст. 6 ФЗ ""О рекламе"").","Неверное. Реклама создает впечатление, что товары из ЦДМ доступны каждой семье, нарушая п. 3 ст. 6 ФЗ ""О рекламе"".","Используемые в рекламе высказывания «Ты хороший родитель?”, “Любишь ребенка - отведи в центральный детский магазин на Лубянке!» создают у ребенка впечатление, что «хороший», «любящий» родитель должен отвести его в ЦДМ. Это является нарушением п. 1 ст. 6 ФЗ “О рекламе”: в целях защиты несовершеннолетних от злоупотреблений их доверием и недостатком опыта в рекламе не допускается дискредитация родителей и воспитателей, подрыв доверия к ним у несовершеннолетних.
Рекламодателю было выписано предписание о прекращении нарушения.
Подробнее о деле: https://goo.su/sq6x4z"
https://fas.gov.ru/news/27621,2019,,несовершеннолетние,Москва,"Выражение «Могу всё!»
в спорной рекламе
воспринимается как
утверждение о
возможности
совершения ребенком
любых действий, в том
числе опасных для его
здоровья","В соответствии с
п.ом 6 ст. 6
Федерального закона
""О рекламе"" в целях
защиты
несовершеннолетних
от злоупотреблений
их доверием и
недостатком опыта в
рекламе не
допускается показ
несовершеннолетних
в опасных ситуациях,
включая ситуации,
побуждающие к
совершению
действий,
представляющих
угрозу их жизни и
(или) здоровью, в
том числе к
причинению вреда
своему здоровью.","Рекламодателю
ненадлежащей
рекламы – ООО СК
«ВТБ
Страхование» –
выдано
предписание об
устранении
нарушения.","Верное: Реклама создает впечатление, что ребёнок может совершать любые действия, в том числе наносящие вред его здоровью. Реклама нарушает п. 6. ст. 6. ФЗ ""О рекламе"".","Неверное: В рекламе отсутствует часть существенной информации о рекламируемом товаре, например, адрес организации, где можно приобрести товар (ч. 7 ст. 5 ФЗ ""О рекламе"").
","Выражение «Могу всё!» воспринимается как утверждение о возможности совершения ребенком любых действий, в том числе опасных для его здоровья. Согласно п. 6 ст. 6 ФЗ ""О рекламе”, в целях защиты несовершеннолетних от злоупотреблений их доверием и недостатком опыта в рекламе не допускается показ несовершеннолетних в опасных ситуациях, включая ситуации, побуждающие к совершению действий, представляющих угрозу их жизни и (или) здоровью, в том числе к причинению вреда своему здоровью.
Рекламодателю было выписано предписание об устранении нарушения.
Подробнее о деле: https://goo.su/tmVqhU"
https://kommersant-ru.turbopages.org/kommersant.ru/s/doc/4585458,17.12.2020,,Несовершеннолетние ,Свердловским УФАС,"Свердловским УФАС России усматриваются в рекламе непристойные и оскорбительные образы, и в целом рекламный ролик может формировать негативное отношение к лицам, проживающим в домах старой застройки, а также сформировать комплекс неполноценности у несовершеннолетних, проживающих в таких домах. В указанном усматриваются признаки нарушения п. 4 ч. 4 ст. 5, ч. 6 и ч. 7 ст. 5, п. 2, 4, 5 ст. 6, ч. 7 ст. 28 Закона о рекламе.","Стоит отметить, что распространение в сети «Интернет» информации, выражающей в неприличной форме, которая оскорбляет человеческое достоинство и общественную нравственность, может быть квалифицировано по ч. 3 ст. 20.1 КоАП РФ как мелкое хулиганство.","Компанию признали виновной в нарушении закона о рекламе (п. 4 ч. 4 ст. 5; ч. 6 ст. 5; пп. 2, 4, 5 ст. 6).

В частности, как посчитало ведомство, застройщик в своем ролике «формировал негативное отношение к лицам, не пользующимся рекламируемыми товарами», использовал «непристойные и оскорбительные образы» и допустил нарушения в адрес несовершеннолетних в рекламе","Верное: В рекламе девочка показывает средний палец, тем самым демонстрируя свою неприязнь к старому месту жительства. Это побуждает несовершеннолетних, посмотревших видеоролик, обратиться к родителям с просьбой воспользоваться услугами компании ""Брусника"", что является нарушением ч. 2 ст. 6 ФЗ “О рекламе”.","Неверное: Реклама порочит честь и достоинство девочки, снявшейся в видеоролике, так как она фигурирует в ней как ""непристойный образ"", показывая средний палец. Это нарушает п. 2 ч. 2 ст. 5 ФЗ ""О рекламе"".
","Свердловский УФАС России усматривает в рекламе непристойные и оскорбительные образы, а также считает, что ролик может сформировать не только негативное отношение к лицам, проживающим в домах старой застройки, но и комплекс неполноценности у несовершеннолетних. В рекламе есть признаки нарушения п. 4 ч. 4 ст. 5, ч. 6 и ч. 7 ст. 5, п. 2, 4, 5 ст. 6, ч. 7 ст. 28 ФЗ “О рекламе”.
Компания была признана виновной и получила предупреждение.
Подробнее о деле: https://goo.su/6joZG"
08/05/5-26/2021,17.05.2021,https://youtu.be/VkWFAoeJLUI,несовершеннолетние,Москва,реклама побуждает несовершеннолетних убедить родителей или иных лиц приобрести рекламируемую карту АО «Альфа-Банк».,"Согласно п.у 2 ст. 6 Федерального закона «О рекламе» в целях защиты несовершеннолетних от злоупотреблений их доверием и недостатком опыта в рекламе не допускается побуждение несовершеннолетних к тому, чтобы они убедили родителей или других лиц приобрести рекламируемый товар.","Признать ненадлежащей, нарушающей п. 2 ст. 6 Федерального закона «О рекламе», рекламу карты АО «Альфа-Банк», распространявшуюся с ноября 2020 г. на сайте youtube.com в форме клипа «Клип за 10 лямов», поскольку реклама побуждает несовершеннолетних убедить родителей или иных лиц приобрести рекламируемую карту АО «Альфа-Банк».","Верное: Фраза: ""Если вам вдруг нет 18, у родителей попросите"" - побуждает несовершеннолетних убедить родителей или иных лиц приобрести для них карту ""Альфа-Банк"".",Неверное: В рекламе отсутствует наименование оказывающего банковские услуги лица и его организационно-правовой формы.,"Реклама побуждает несовершеннолетних убедить родителей или иных лиц приобрести рекламируемую карту АО «Альфа-Банк», нарушая п. 2 ст. 6 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/YFmF"
№ 08/05/6-33/2019,27.06.2019,"Реклама кровли марки «katepal», распространявшейся в эфире телеканала
«Матч ТВ»: https://www.youtube.com/watch?v=vzONUdxg3c8. Во время
трансляции рекламы присутствует динамическая заставка: «Является художественным вымыслом. Не повторять!».
",Несовершеннолетние ,Московский УФАС,"С учётом общего зрительного восприятия рекламы кровли марки «katepal» члены
Экспертного Совета признали в ней наличие признаков нарушения п. 6 ст.
6 Федерального закона «О рекламе», так как в рекламе показан
несовершеннолетний в опасной ситуации, включая ситуацию, побуждающую к
совершению действий, представляющих угрозу жизни и (или) здоровью, в том
числе к причинению вреда своему здоровью","п. 6 ч. 1 ст. 6 ФЗ ""О рекламе""","Признать ненадлежащей, нарушающей ст. 6 Федерального закона «О
рекламе», распространявшуюся в июне-июле 2018 года на телекнале «Матч ТВ»
рекламу кровли марки «katepal», поскольку в ней показывается
несовершеннолетний в опасной ситуации.","Верное: Изображение в рекламе мальчика, пытающегося лизнуть сосульку, демонстрирует
несовершеннолетнего в опасной ситуации и побуждает к совершению действий,
представляющих угрозу жизни и здоровью.
","Неверное: В рекламе используются непристойные и оскорбительные образы ребенка. А также фраза ""Другие ещё сосульки
лизали, когда мы создали черепицу Катепал"" вводит потребителей в заблуждение своим неясным смыслом.","С учётом общего зрительного восприятия рекламы кровли марки «katepal» члены
Экспертного Совета признали в ней наличие признаков нарушения п. 6 ст. 6 Федерального закона «О рекламе», так как в рекламе показан
несовершеннолетний в опасной ситуации, включая ситуацию, побуждающую к совершению действий, представляющих угрозу жизни и (или) здоровью, в том числе к причинению вреда своему здоровью. Реклама была признана ненадлежащей, а компании было выдано предписание о прекращении нарушения.
Подробнее о деле: https://goo.su/mbAJKvS
"
№ 04-5/24,12.03.2019,"На телеканале «Губерния» распространялась реклама следующего содержания:
«Ваши дети гуляют так? А наши будут вот так. Элитный дом рядом с аквапарком в
жилом комплексе «Пионерский». Новая квартира, новая жизнь. Телефон 413-400».
",Несовершеннолетние ,Хабаровский УФАС,"Смысловая нагрузка текста рекламы: «Ваши дети гуляют так? А наши будут вот так.
Элитный дом рядом с аквапарком в жилом комплексе «Пионерский» и визуальный
ряд с изображением улыбающихся детей в случае просмотра рекламы
последними может создать чувство превосходства над своими сверстниками,
точно так же, как и сформировать комплекс неполноценности у
несовершеннолетних лиц, не проживающих в жилом комплексе «Пионерский».","Согласно п.м 4, 5 ст. 6 ФЗ «О рекламе» в целях защиты
несовершеннолетних от злоупотреблений их доверием и недостатком опыта в
рекламе не допускаются создавать у несовершеннолетних впечатления о том, что
обладание рекламируемым товаром ставит их в предпочтительное положение
перед их сверстниками и формировать комплекса неполноценности у
несовершеннолетних, не обладающих рекламируемым товаром.","Признать ненадлежащей рекламу «Ваши дети гуляют так? А наши будут вот так.
Элитный дом рядом с аквапарком в жилом комплексе «Пионерский» . Новая
квартира, новая жизнь…», распространяемую ООО «Фонд жилищного
строительства» на телеканале «Губерния» в январе 2019 года.","Верное: Реклама может сформировать комплекс неполноценности у детей, которые не живут в комплексе «Пионерский», а проживающим там детям создать чувство превосходства над своими сверстниками .","Неверное: Реклама содержит некорректное сравнение жилового комплекса ""Пионерский"" с другими постройками такого типа. В ней содержится фраза ""Новая квартира, новая жизнь..."", исходя из которой делается вывод, что в других комплексах квартиры и жизнь ""старые"".","Смысловая нагрузка текста рекламы: «Ваши дети гуляют так? А наши будут вот так.
Элитный дом рядом с аквапарком в жилом комплексе «Пионерский» и визуальный
ряд с изображением улыбающихся детей может создать у последних чувство превосходства над своими сверстниками,
точно так же, как и сформировать комплекс неполноценности у
несовершеннолетних лиц, не проживающих в жилом комплексе «Пионерский». Реклама нарушает п. 4 и 5 ст. 6 ФЗ ""О рекламе"", поэтому она была признана ненадлежащей.
Компании было выписано предписание о прекращении нарушения.
Подробнее о деле: https://goo.su/tweUj"
https://sovetreklama.ru/assets/images/docs/resheniya/%D0%A0%D0%B0%D1%81%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D0%B6%D0%B0%D0%BB%D0%BE%D0%B1%D1%8B%20%D0%BF%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%20%E2%84%96%20104%20%D0%BD%D0%B0%20%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%83%20%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%B0%20%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%B8%D1%80.pdf,30.10.2020,,Несовершеннолетние,Москва,"Заявитель полагает, что данная реклама является
оскорбительной, в которой: ""девочки, во-первых, должны ориентироваться на чужое-мужское
мнение, во-вторых, сама по себе девочка считается некрасивой, надо накраситься, в-третьих,
девочка должна быть недоступной! Ребенку на фото вообще сколько лет, чтобы говорить о
доступности или недоступности? Недоступно - это о сексе? Или есть какие-то другие значения,
которые применимы к девочкам?""","Нарушения положений Федерального закона от 13.03.2006 № 38-ФЗ «О рекламе»
не выявлены.
",Нарушения положений Федерального закона от 13.03.2006 № 38-ФЗ «О рекламе» не выявлены.,"Верное: Указанное рекламное объявление оскорбительно, поскольку указывает на рекомендуемое девочкам поведение:  быть “красивой и недоступной”, а также краситься.","Неверное: Рекламное объявление оскорбительно, поскольку указывает на рекомендуемое девочкам поведение:  быть “красивой и недоступной”, а также краситься.","В указанном рекламном объявлении отсутствуют какие-либо нарушения ФЗ ""О рекламе"", поскольку такая реклама не демонстрирует оскорбительные образы/сравнения и не причиняет вред несовершеннолетним.
Подробнее о деле: https://goo.su/jwCaH"
https://sovetreklama.ru/assets/images/docs/resheniya/%D1%80%D0%B0%D1%81%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B7%D0%B0%D0%BF%D1%80%D0%BE%D1%81%D0%B0%20%D0%B8%D0%B7%20%D0%9A%D0%9F%D0%92%D0%A1%D0%9C%D0%98%20%D0%BF%D0%BE%20%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B5%20%D1%88%D0%BE%D1%83%20%D0%91%D0%B5%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%B0%20%D0%B2%2016.pdf,30.03.2020,,Несовершеннолетние,Санкт-Петербург,"рассматривается жалоба потребителя на указанную рекламу, которая по мнению
заявителя рекламирует «низкосортные днищенские ТВ-передачи». Заявитель выражает
возмущение рекламой «аморальной» ТВ-программой и требует её прекращения.
","Нарушения 13 ст. ФЗ ""О рекламе"" нет.",Нарушения положений Федерального закона от 13.03.2006 № 38-ФЗ «О рекламе» не выявлены,Верно: Запрещено использование образов несовершеннолетних в рекламе телевизионных программ.,"Неверно: Данное изображение может создать у подростков ощущение, что забеременеть в 16 лет - приемлемо, что не соответствует установкам современного российского общества и подрывает позитивное социальное поведение.
","Нарушений нет. Само по себе изображение беременной
женщины не может быть оскорбительным. Кроме того, даже
если ранняя беременность не самое положительное социальное явление, отрицать его
существование нельзя.
Эксперты констатировали, что в данной рекламе нет призыва к развратным действиям или беременности в 16 лет. Рассматриваемая реклама лишь доносит смысл сюжета передачи.
Подробнее о деле: https://goo.su/m1lgGF"
https://sovetreklama.ru/assets/images/docs/resheniya/Рассмотрение%20запроса%20№%20%2007-2021%20из%20Краснодарского%20УФАС%20по%20рекламе%20сети%20магазинов%20Магнит-Косметик.pdf ,04.03.2021,,несовершеннолетние,Краснодарский край ,"Реклама яркого макияжа подразумевает использование яркого образа. При этом, использование образов с ярким макияжем на отнесено Федеральным законом от 29 декабря 2010 г. N 436-ФЗ «О защите детей от информации, причиняющей вред их здоровью и развитию», к информации причиняющей вред несовершеннолетн",п.2 ч. 3 ст. 5 Федерального закона от 13.03.2006 No38-ФЗ «О рекламе» и . 7 Письма Минобрнауки России от 28.03.2013 N ДЛ-65/08 «Об установлении требований к одежде обучающихся» ,"1. Нарушения положений Федерального закона от 13.03.2006 No38-ФЗ «О рекламе» не выявлены.   Нарушения норм, изложенных в Российском Кодексе практики рекламы и маркетинговых коммуникаций (2012г.) и в Кодексе рекламы и маркетинговых коммуникаций МТП, не выявлены.","Верное: В рекламе содержится утверждение “Училка не заругает”, что является нарушением п. 2 ч. 3 ст. 5 Ф3 «О рекламе», т.к. присутствует недостоверная информация о потребительских свойствах и об условиях применения объекта рекламирования.
","Неверно: Реклама создает у несовершеннолетних впечатление, что обладание рекламируемым товаром ставит их в предпочтительное положение перед сверстниками, что является нарушением
п. 4 ст. 6 ФЗ ""О рекламе"".
","Нарушения не были выявлены. В данной рекламе увидели дискредитацию учителя («училка не заругает»). В случае необычного поведения, макияжа «училка» может только «заругать». Такой посыл явно приносит вред несовершеннолетним и является нарушением норм о безопасной для несовершеннолетних рекламе.
Рекомендовано отказаться рекламодателю от этой формулировки.
Подробнее о деле: https://goo.su/Ul5bUA"
