Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
https://fas.gov.ru/news/25898,2015,,неэтичная реклама,Ярославль,"С претензиями к рекламе со слоганом «ЕдАЛ ТАКОЕ?», в котором все буквы кроме второй в первом слове — прописные, а вторая буква в слове «ЕдАЛ» строчная, и похожа на букву ""б"", обратился гражданин. Экспертная оценка подтвердила наличие в спорной рекламе нарушения запрета на использование бранных слов, непристойных и оскорбительных выражений, установленного законом","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Выдано предписание о прекращении нарушения и назначен штраф в размере 100 000 рублей,"Верное: Рекламный слоган ""ЕдАЛ ТАКОЕ?"" нарушает ч. 6 ст. 5 ФЗ ""О рекламе"" - запрет на использование бранных слов и непристойных выражений.","Неверное: Реклама на заднем стекле перекрывает водителю обзор, это угрожает безопасности движения и может привести к аварийной ситуации (ч. 5 ст. 20 ФЗ ""О рекламе"").","В рекламе используется слоган ""ЕдАЛ ТАКОЕ?"", имеющий сходство с непристойной фразой. Использование бранных слов, непристойных и оскорбительных выражений в рекламе запрещается ч. 6 ст. 5 ФЗ ""О рекламе"". За нарушение закона компания заплатила административный штраф 100 000 рублей.
Подробнее о деле: https://goo.su/EydXvzm"
https://www.gazeta.ru/business/2007/09/28/2199935.shtml?updated,2007,,неэтичная реклама,Москва и МО,"В рекламе использовались образы детей и приводились выражения: ""Кто не в Prada - тот лох!"", ""Все люди как люди, а я в Burberry"", ""Я одна в классе. Действительно одна! Просто от зависти все лопнули"", ""Вот я и в школу! Теперь меня интересуют только шмотки. А вы, два старых урода, мне больше не нужны!"", ""Хочу быть богатым, знаменитым, ездить на Bentley, одеваться только в ЦУМе"", ""Свет мой, ЦУМ, скажи, я ль в школе всех моднее?"", ""Папочка! Если ты меня правда любишь, купи! Купи! Купи мне туфли, платье, шляпку!!! D&G, Armani, Prada"".
По мнению антимонопольного ведомства, рекалама содержала оскорбления по отношению к детям и осуждала тех, кто не пользуется услугами универмага. Данная реклама побуждает несовершеннолетних обратиться к родителям с просьбой приобрести товары в ЦУМе, а также создает у них впечатление, что обладание такими вещами дает преимущество перед сверстниками.

\","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Признана ненадлежащей, выдано предписание о прекращении нарушения и назначен штраф в размере 400 000 рублей","Верное: В рекламе используются бранные слова, непристойные выражения, оскорбительные образы и сравнения, запрещенные ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама призывает к насилию, это нарушает п. 2 ч. 4 ст. 5 ФЗ ""О рекламе"".","Рекламные слоганы содержат оскорбления детей и их возрастных ценностей, что нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Рекламодателю был назначен штраф в размере 400 000 рублей.
Подробнее о деле: https://goo.su/tzk9jU"
3-5-61/00-08-17,13 марта 2018,,неэтичная реклама,"Реклама распространялась в социальных сетях (instagram), а рассмотрением дела занималось Управление контроля рекламы и недобросовестной конкуренции","Комиссия антимонопольной службы пришла к выводу, что спорная реклама обращена к лицам от 14 до 18 лет и носит оскорбительный характер, поскольку причисляет лиц в этом возрасте к неформальному молодежному криминальному движению ""АУЕ"" и способствует популяризации криминальной организации.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Признана ненадлежащей и наложен штраф за нарушение законодательства о рекламе в размере 100 000 рублей,"Верное: Реклама носит оскорбительный характер, так как причисляет лиц в возрасте от 14-18 лет к криминальному молодежному движению ""АУЕ"". Использование оскорбительных образов и сравнений запрещено ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Рекламная фраза ""Молодым платить не по масти"" искажает смысл информации и вводит потенциальных потребителей в заблуждение (ч. 7 ст. 5 ФЗ ""О рекламе"").","Реклама носит оскорбительный характер, она обращена к лицам в возрасте от 14 до 18 лет и косвенно причисляет их к молодежному криминальному движению ""АУЕ"". Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"". За нарушение законодательства был наложен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/2bbxy2"
"03-05/15-2018
",28 августа 2018,,неэтичная реклама,Архангельская область,"Реклама указывает на физические недостатки у женщин (маленькая грудь). Реклама содержит оскорбительный образ в отношении женского пола
","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Штраф,"Верное: В рекламе содержится оскорбительный образ в отношении женщин, это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Условия оферты прописаны слишком мелким шрифтом. Такая информация считается отсутствующей, а соответствующая реклама ненадлежащей, потому что не содержит часть существенной информации о рекламируемых услугах, согласно ч. 7 ст. 5. ФЗ ""О рекламе"".
","Реклама содержит оскорбительный образ в отношении женского пола и указывает на физический недостаток. Использование оскорбительных образов и сравнений запрещено ч. 6 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен штраф.
Подробнее о деле: https://goo.su/zODz "
04-6/2-1-2017,20 марта 2017,,неэтичная реклама,Тверская область,"Владелец п. сбора металлолома использовал в качестве рекламы своего предприятия исторический образ - плакат ""Родина-мать зовет!"". Федеральная антимонопольная служба признала это оскорблением ветеранов и памяти участников боевых действий 1941-1945 годов","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Признана ненадлежащей и наложен административный штраф в размере 12 000 рублей,"Верное: В рекламе запрещено использование непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении памятников истории и культуры РФ (ч. 6 ст. 5 ФЗ ""О рекламе"").","Неверное: В рекламе используется слоган ""Приказ: ВСЕ на сбор металлолома"", который может заставить потребителей думать, что сбор металлолома является их обязанностью. Такая реклама нарушает ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама использует исторический образ - плакат ""Родина-мать зовет"", который ассоциируется с Великой Отечественной войной - с призывом сдавать металлолом. Это является оскорблением ветеранов и памяти участников военных действий 1941-1945 гг. Использование оскорбительных образов и сравнений, в том числе изображений, принижающих значимость исторических событий и памятных лет, запрещается ч. 6 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен административный штраф в размере 12 000 рублей.
Подробнее о деле: https://goo.su/b8hfF "
131-08/2017,5 марта 2018,,неэтичная реклама,Челябинская область,"В рекламе магазина «Все сам+» на телевидении и в общественном транспорте г. Челябинска содержались сведения о расположении данного магазина - «у мужика с пистолетом». Установлено, что указанный магазин находится рядом с многоквартирным домом по ул. Молодогвардейцев, на фасаде которого размещен барельеф знаменитой фотографии советского фоторепортера Макса Альперта «Комбат». Данное металлическое объемное изображение было создано и размещено на 9-этажном доме к 30-летию Победы в Великой Отечественной войне в память об ее участниках. Кроме того, различные воплощения данной фотографии уже неоднократно использовались при проведении памятных мероприятий, приуроченных к празднованию Дня Победы.
Использование в рекламе коммерческой организации слова «мужик», одним из лексических значений которого является «грубый, невежественный, невоспитанный, неопрятный мужчина» в сочетании со сведениями «с пистолетом» является недопустимым в отношении исторических событий Великой Отечественной войны. Использование фразы «мужик с пистолетом» является эксплуатацией символа победы и приводит к его обесцениванию в глазах подрастающего поколения, принижает значимость известного исторического события и памятных лет, является некорректным (оскорбительным) как для ветеранов Великой Отечественной войны, так и по отношению к памяти участников боевых действий 1941-1945 годов.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Признана ненадлежащей и назначено административное наказание в виде предупреждения за совершение административного правонарушения,"Верное: Реклама является оскорбительной в отношении ветеранов и памяти участников боевых действий 1941-1945: использование фразы «мужик с пистолетом» является эксплуатацией символа победы и приводит к его обесцениванию в глазах подрастающего поколения, принижает значимость известного исторического события и памятных лет. Согласно ч. 6 ст. 5 ФЗ ""О рекламе"", в рекламе запрещено использование непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении памятников истории и культуры РФ.","Магазин бытовой техники и услуг некорректно обозначил в рекламе свой адрес, что делает рекламу неполноценной и вводящей в заблуждение, так как отсутствие четких данных об адресе, стоимости услуг, возможных условиях акций или организации не допускается в соответствии с ч. 1 ст. 28 ФЗ ""О рекламе"".","Реклама носит оскорбительный характер по отношению к ветеранам и памяти участников боевых действий 1941-1945 гг, поскольку представляет собой эксплуатацию символа победы и принижает значимость исторического события. В ней используется слово «мужик», одним из лексических значений которого является «грубый, невежественный, невоспитанный, неопрятный мужчина», что в сочетании со сведениями «с пистолетом» недопустимо в отношении исторических событий Великой Отечественной войны. Использование в рекламе оскорбительных образов, сравнений и выражений запрещено ч. 6 ст. 5 ФЗ ""О рекламе"". За это нарушение было назначено административное наказание в виде предупреждения.
Подробнее о деле: https://goo.su/3O4Qwie "
https://sverdlovsk.fas.gov.ru/news/10621,2019,,неэтичная реклама,Екатеринбург,"Толковые словари русского языка не содержат слово «охрюнительно». Между тем, слово «охрюнительно» образовано путем замены буквы «е» на букву «ю» от слова, в свою очередь которое является эвфемизмом бранного слова, используемого в качестве ругательства или оскорбления. Таким образом, в указанной рекламе словом «охрюнительно» завуалировано бранное, жаргонное и непристойное слово.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",,"Верное: В рекламе используется слово ""охрюнительно"", что созвучно с бранным словом при замене буквы ""ю"" на ""е"". Использование бранных слов является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"". ","Неверное: В рекламном объявлении отсутствуют условия получения рассрочки без процентов, это не указано даже мелким шрифтом. Такая реклама является ненадлежащей, потому что не содержит часть существенной информации о рекламируемом товаре и нарушает ч. 7 ст. 5 ФЗ ""О рекламе"".
","В рекламе содержится завуалированное бранное выражение, образованное от жаргонного слова путем замены буквы «е» на «ю» - ""охрюнительно"". Использование бранных и непристойных выражений нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/tYzs"
3-5-21/77-16,16 сентября 2019,,неэтичная реклама,Москва,"Рекламный щит с текстом «Ваша Ж может стать шире! Квартиры от 2,8 млн руб.» и изображением женщины в розовой балетной пачке признан неприличным, противоречащим нормам общественной морали и нравственности. Ниже мелким, трудно читаемым шрифтом была сделана пометка, что Ж — это жилплощадь.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Признана ненадлежащей и выдано предписание о прекращении нарушения законодательства о рекламе,"Верное: В рекламе запрещено использование непристойных и оскорбительных образов, в данном случае изображена женщина со словами, что она может стать шире. Такой образ противоречит нормам общественной морали, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламном объявлении отсутствуют условия расширения жилплощади, это не указано даже мелким шрифтом. Такая реклама считается ненадлежащей, потому что не содержит часть  существенной информации о рекламируемом товаре, и нарушает ч. 7 ст. 5 ФЗ ""О рекламе"".","Рекламный щит содержит надпись ""Ваша Ж может стать шире! Квартиры от 2,8 млн руб."", в то же время пометка о том, что под ""Ж*"" понимается жилпллощадь представлена мелким шрифтом, поэтому не воспринимается потребителем. Изображение женщины рядом с такой фразой является непристойным, оскорбительным и принижает достоинство женщины, что нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/ySY8 "
Р-8/2017,22 марта 2017,,неэтичная реклама,Курганская область,"Стилистика написания слова «Скука» воспринимается русскоязычным населением как бранное слово, содержащее смысловые ассоциации непристойного и двусмысленного характера","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Признана ненадлежащей и выдано предписание о прекращении нарушения законодательства о рекламе,"Верное: Фраза на автобусе нарушает ч. 6 ст. 5 ФЗ ""О рекламе"", в которой запрещено использование бранных слов и непристойных выражений. Слово ""СкУКУ"" может восприниматься потребителем как бранное слово из-за особенностей написания буквы ""к"". Она написана мелким шрифтом и более темным цветом, чем все остальные слова.","Неверное: В рекламе присутствует фотография женщины в непристойном образе. Согласно п. 5 ч. 4 ст. 5 ФЗ ""О рекламе"" не допускается распространение рекламы, которая может содержать материал или информацию порнографичесокого характера.","В рекламе используется слоган ""Оставь скуку за дверью и приходи к нам"", где ""скука"" имеет сходство с бранным словом из-за стиля написания: буква ""к"" напечатана мелким шрифтом. Использование бранных слов, непристойных и оскорбительных выражений в рекламе запрещается ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/sZYlR4"
,,,неэтичная реклама,Якутск,"В рекламе использовалось изображение красноармейца из агитационного плаката художника Д. Моора, а надпись в общеизвестном патриотическом плакате времен гражданской войны в России «Ты записался добровольцем?», символизирующий призыв вступить в ряды Советской Армии, заменен выражением: «А ты купил своей любимой цветы?». Распространение данной рекламы оскорбляет память ветеранов Великой Отечественной войны, пожилых людей и создает оскорбительный образ героя войны, солдата защищавшего Родину","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Наложен административный штраф в размере 5 000 рублей,"Верное: В рекламе запрещено использование непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении памятников истории и культуры РФ. В этом случае реклама является оскорбительной в отношении ветеранов и солдат, защищающих Родину, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе отсутствует наименование юридического или физического лица, предлагающего услуги по покупке цветов, что недопустимо в соответствии с ч. 1 ст. 28 ФЗ ""О рекламе"".","Реклама использует исторический образ - плакат «Ты записался добровольцем?», который символизирует волю к победе, патриотизм, мужество советских солдат - с призывом купить цветы в рекламируемом магазине. Это является оскорблением памяти ветеранов, пожилых людей и солдат, защищающих Родину. Использование оскорбительных образов и сравнений, в том числе изображений, принижающих значимость исторических событий, запрещается ч. 6 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен административный штраф в размере 5 000 рублей.
Подробнее о деле: https://goo.su/hpUj"
,,,неэтичная реклама,Екатеринбург,"На спорных афишах изображены 6 известных античных статуй на красном фоне. Вместо лиц скульптур — фотографии актеров (Гоша Куценко, Петр Красилов и другие известные актеры) Реклама признана непристойной, оскорбительной, поскольку измененные изображения статуй были восприняты потребителями рекламы как обнаженные мужские тела","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Наложен административный штраф 101 000,"Верное: На рекламе изображены античные статуи с фотографиями лиц известных актеров, которые воспринимаются потребителями как обнаженные мужские тела, что выглядит непристойно и нарушает ч. 6 ст. 5 ФЗ ""О рекламе"". ","Неверное: В рекламе используется словосочетание ""только для женщин"", что недопустимо, так как является проявлением дискриминации в отношении мужского пола и нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".","В рекламе содержатся оскорбительные и непристойные образы, поскольку античные статуи с лицами актеров воспринимаются как обнаженные мужские тела. Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"". В результате судебного разбирательства был наложен административный штраф в размере 101 000 рублей.
Подробнее о деле: https://goo.su/xDT73"
